model,year,transmission,mileage,fuelType,tax(£),mpg,engineSize,price
 I20,2017,Manual,17307,Petrol,145,58.9,1.2,7999
 Tucson,2016,Automatic,25233,Diesel,235,43.5,2,14499
 Tucson,2016,Manual,37877,Diesel,30,61.7,1.7,11399
 I10,2016,Manual,23789,Petrol,20,60.1,1,6499
 IX35,2015,Manual,33177,Diesel,160,51.4,2,10199
 I10,2015,Manual,41650,Petrol,20,60.1,1,6149
 I20,2015,Manual,39547,Petrol,30,55.4,1.2,6799
 Tucson,2016,Automatic,30300,Diesel,125,57.6,1.7,14199
 I30,2018,Automatic,38082,Petrol,145,51.4,1.4,10399
 Tucson,2016,Manual,21014,Diesel,30,61.7,1.7,12163
 Tucson,2017,Manual,22888,Diesel,150,61.7,1.7,13200
 I30,2017,Manual,20000,Petrol,150,56.5,1,10000
 I20,2015,Manual,26413,Petrol,30,55.4,1.2,6900
 Tucson,2019,Manual,10000,Petrol,150,34.9,1.6,17750
 Tucson,2017,Semi-Auto,18626,Diesel,125,57.6,1.7,14600
 I40,2015,Manual,31979,Diesel,30,65.7,1.7,8700
 Tucson,2017,Manual,26685,Diesel,30,61.7,1.7,13000
 I10,2018,Manual,35000,Petrol,145,60.1,1,7100
 I10,2016,Manual,6000,Petrol,20,57.6,1.2,7500
 Tucson,2017,Manual,17059,Diesel,30,61.7,1.7,12000
 Tucson,2017,Manual,49174,Petrol,145,44.8,1.6,11695
 I20,2015,Manual,6413,Petrol,30,55.4,1.2,7995
 Tucson,2015,Manual,34177,Diesel,30,61.7,1.7,10700
 I10,2016,Manual,7447,Petrol,30,57.6,1.2,8100
 IX35,2013,Manual,34500,Diesel,145,53.3,1.7,8200
 I10,2016,Manual,16751,Petrol,30,57.6,1.2,6600
 Tucson,2018,Manual,16265,Petrol,150,44.8,1.6,13900
 Tucson,2018,Manual,19087,Petrol,145,44.8,1.6,13700
 I30,2017,Manual,38206,Diesel,145,78.4,1.6,8300
 Tucson,2016,Automatic,20025,Diesel,125,57.6,1.7,15800
 Ioniq,2018,Automatic,32227,Hybrid,135,78.5,1.6,15000
 Tucson,2015,Automatic,28904,Diesel,200,46.3,0,15200
 I10,2014,Automatic,8646,Petrol,160,45.6,0,7700
 I30,2017,Automatic,17663,Diesel,20,72.4,0,10500
 I20,2017,Automatic,12661,Petrol,145,44.1,0,11400
 Kona,2018,Manual,7359,Petrol,145,52.3,1,12995
 Tucson,2019,Manual,4353,Petrol,145,35.3,1.6,18000
 I10,2018,Manual,7126,Petrol,145,60.1,0,9000
 Veloster,2014,Manual,36324,Petrol,160,43.5,1.6,8300
